sub_id,condition,order,pre_jump_height,post_jump_height,jump_diff,before_1,before_2,before_3,after_1,after_2,after_3,order,,,,,,
1,dynamic,2,22.88,24.61,1.73,21.22,22.88,21.22,24.61,24.61,21.22,2,,,,,,
2,dynamic,1,39.28,41.68,2.40,39.28,37.09,37.09,41.68,41.68,41.68,1,0.566,0.55,0.55,0.583,0.583,0.583
3,dynamic,3,0.00,0.00,0.00,,,,,,,3,,,,,,
4,dynamic,2,40.68,40.68,0.00,36.29,36.29,40.68,36.29,40.68,38.46,2,,,,,,
5,dynamic,1,40.68,40.68,0.00,38.46,36.29,40.68,40.68,40.68,38.46,1,,,,,,
6,dynamic,3,0.00,0.00,0.00,,,,,,,3,,,,,,
7,dynamic,2,0.00,0.00,0.00,,,,,,,2,,,,,,
8,dynamic,1,0.00,0.00,0.00,,,,,,,1,,,,,,
9,dynamic,3,0.00,0.00,0.00,,,,,,,3,,,,,,
10,dynamic,2,0.00,0.00,0.00,,,,,,,2,,,,,,
11,dynamic,1,0.00,0.00,0.00,,,,,,,1,,,,,,
12,dynamic,3,0.00,0.00,0.00,,,,,,,3,,,,,,
13,dynamic,2,0.00,0.00,0.00,,,,,,,2,,,,,,
14,dynamic,1,0.00,0.00,0.00,,,,,,,1,,,,,,
15,dynamic,3,0.00,0.00,0.00,,,,,,,3,,,,,,
16,dynamic,2,0.00,0.00,0.00,,,,,,,2,,,,,,
17,dynamic,1,0.00,0.00,0.00,,,,,,,1,,,,,,
18,dynamic,3,0.00,0.00,0.00,,,,,,,3,,,,,,
1,rest,3,0.00,0.00,0.00,,,,,,,3,,,,,,
2,rest,2,40.68,42.98,2.30,38.46,40.68,38.46,42.98,38.46,38.46,2,,,,,,
3,rest,1,22.99,21.22,-1.77,21.22,22.99,19.62,21.22,21.22,21.22,1,0.416,0.433,0.4,0.416,0.416,0.416
4,rest,3,0.00,0.00,0.00,,,,,,,3,,,,,,
5,rest,2,0.00,0.00,0.00,,,,,,,2,,,,,,
6,rest,1,0.00,0.00,0.00,,,,,,,1,,,,,,
7,rest,3,0.00,0.00,0.00,,,,,,,3,,,,,,
8,rest,2,0.00,0.00,0.00,,,,,,,2,,,,,,
9,rest,1,0.00,0.00,0.00,,,,,,,1,,,,,,
10,rest,3,0.00,0.00,0.00,,,,,,,3,,,,,,
11,rest,2,0.00,0.00,0.00,,,,,,,2,,,,,,
12,rest,1,0.00,0.00,0.00,,,,,,,1,,,,,,
13,rest,3,0.00,0.00,0.00,,,,,,,3,,,,,,
14,rest,2,0.00,0.00,0.00,,,,,,,2,,,,,,
15,rest,1,0.00,0.00,0.00,,,,,,,1,,,,,,
16,rest,3,0.00,0.00,0.00,,,,,,,3,,,,,,
17,rest,2,0.00,0.00,0.00,,,,,,,2,,,,,,
18,rest,1,0.00,0.00,0.00,,,,,,,1,,,,,,
1,static,1,28.61,24.83,-3.78,28.61,24.83,19.62,24.83,22.99,22.99,1,0.483,0.45,0.4,0.45,0.433,0.433
2,static,3,0.00,0.00,0.00,,,,,,,3,,,,,,
3,static,2,0.00,0.00,0.00,,,,,,,2,,,,,,
4,static,1,34.84,41.68,6.84,34.84,34.84,34.84,41.68,37.09,39.28,1,0.533,0.533,0.533,0.583,0.55,0.566
5,static,3,0.00,0.00,0.00,,,,,,,3,,,,,,
6,static,2,0.00,0.00,0.00,,,,,,,2,,,,,,
7,static,1,0.00,0.00,0.00,,,,,,,1,,,,,,
8,static,3,0.00,0.00,0.00,,,,,,,3,,,,,,
9,static,2,0.00,0.00,0.00,,,,,,,2,,,,,,
10,static,1,0.00,0.00,0.00,,,,,,,1,,,,,,
11,static,3,0.00,0.00,0.00,,,,,,,3,,,,,,
12,static,2,0.00,0.00,0.00,,,,,,,2,,,,,,
13,static,1,0.00,0.00,0.00,,,,,,,1,,,,,,
14,static,3,0.00,0.00,0.00,,,,,,,3,,,,,,
15,static,2,0.00,0.00,0.00,,,,,,,2,,,,,,
16,static,1,0.00,0.00,0.00,,,,,,,1,,,,,,
17,static,3,0.00,0.00,0.00,,,,,,,3,,,,,,
18,static,2,0.00,0.00,0.00,,,,,,,2,,,,,,
,,,,,Average,SD,,,,,,,,,,,,
,,,,Static,0.170,1.89,,,,,,,,,,,,
,,,,Dynamic,0.229,0.68,,,,,,,,,,,,
,,,,Control,0.029,0.70,,,,,,,,,,,,
